date,close,volume,source,log_return,vodacom_era
2020-08-26,29.0,7522381,xlsx,,pre_announcement
2020-08-27,29.45,10409989,xlsx,0.015398080111121662,pre_announcement
2020-08-28,29.85,11730856,xlsx,0.013490929741015508,pre_announcement
2020-08-31,29.9,25963512,xlsx,0.001673640558029472,pre_announcement
2020-09-01,29.9,2291221,xlsx,0.0,pre_announcement
2020-09-02,30.0,25815286,xlsx,0.0033389012655146303,pre_announcement
2020-09-03,30.05,3234099,xlsx,0.0016652793190612488,pre_announcement
2020-09-04,29.6,3278888,xlsx,-0.015088299651201884,pre_announcement
2020-09-07,29.05,12957573,xlsx,-0.018755878032094515,pre_announcement
2020-09-08,29.0,1652300,xlsx,-0.0017226533114461818,pre_announcement
2020-09-09,29.05,1831254,xlsx,0.001722653311446156,pre_announcement
2020-09-10,29.95,28936876,xlsx,0.030510841263538094,pre_announcement
2020-09-11,30.05,6191351,xlsx,0.003333336419758217,pre_announcement
2020-09-14,29.95,378404,xlsx,-0.0033333364197582274,pre_announcement
2020-09-15,30.15,5077549,xlsx,0.006655598611736067,pre_announcement
2020-09-16,30.1,13625276,xlsx,-0.0016597514183642856,pre_announcement
2020-09-17,30.0,115837752,xlsx,-0.003327790092674691,pre_announcement
2020-09-18,30.0,5894205,xlsx,0.0,pre_announcement
2020-09-21,29.9,1425170,xlsx,-0.0033389012655147096,pre_announcement
2020-09-22,30.05,9995045,xlsx,0.00500418058457595,pre_announcement
2020-09-23,30.0,13820470,xlsx,-0.0016652793190612089,pre_announcement
2020-09-24,30.0,10558192,xlsx,0.0,pre_announcement
2020-09-25,30.05,12094098,xlsx,0.0016652793190612488,pre_announcement
2020-09-28,29.8,5393378,xlsx,-0.008354267469857813,pre_announcement
2020-09-29,29.8,1216001,xlsx,0.0,pre_announcement
2020-09-30,29.7,16260959,xlsx,-0.003361347702704883,pre_announcement
2020-10-01,29.8,1949785,xlsx,0.0033613477027049274,pre_announcement
2020-10-02,30.0,4287743,xlsx,0.006688988150796489,pre_announcement
2020-10-05,30.0,1100595,xlsx,0.0,pre_announcement
2020-10-06,29.95,5086399,xlsx,-0.0016680571006970587,pre_announcement
2020-10-07,30.5,3276936,xlsx,0.018197359051907513,pre_announcement
2020-10-08,30.05,6302740,xlsx,-0.01486402263214928,pre_announcement
2020-10-09,30.1,5908700,xlsx,0.0016625107736134572,pre_announcement
2020-10-12,30.05,3140098,xlsx,-0.0016625107736135253,pre_announcement
2020-10-13,30.15,3837824,xlsx,0.00332226219197786,pre_announcement
2020-10-14,30.1,12379458,xlsx,-0.0016597514183642856,pre_announcement
2020-10-15,30.05,102882,xlsx,-0.0016625107736135253,pre_announcement
2020-10-16,30.1,2402400,xlsx,0.0016625107736134572,pre_announcement
2020-10-19,30.1,2050129,xlsx,0.0,pre_announcement
2020-10-21,30.25,6682483,xlsx,0.004971012722020402,pre_announcement
2020-10-22,30.65,1423987,xlsx,0.013136477905369981,pre_announcement
